Bus109,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus110,241.148264,-0.536716,247.872871,3.657608,242.733892,1.572869
Bus111,241.636759,-0.538218,247.329709,3.660413,241.244676,1.572481
Bus112,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus113,241.148266,-0.536716,247.872818,3.657608,242.733843,1.572869
Bus114,241.682520,-0.538359,247.278949,3.660676,241.105248,1.572444
Bus115,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus116,241.148268,-0.536716,247.872750,3.657608,242.733781,1.572869
Bus117,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus118,241.826005,-0.538802,247.124477,3.661426,240.673161,1.572214
Bus119,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus120,241.148270,-0.536716,247.872701,3.657608,242.733736,1.572869
Bus121,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus122,241.682518,-0.538359,247.278872,3.660676,241.105107,1.572444
Bus123,242.084880,-0.539599,246.846258,3.662781,239.893982,1.571795
Bus124,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus125,241.148272,-0.536716,247.872632,3.657608,242.733673,1.572869
Bus126,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus127,241.682515,-0.538359,247.278753,3.660676,241.104891,1.572444
Bus128,242.201346,-0.539957,246.721292,3.663391,239.543599,1.571606
Bus129,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus130,241.148275,-0.536716,247.872557,3.657608,242.733605,1.572869
Bus131,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus132,241.681589,-0.538358,247.278755,3.660676,241.104902,1.572444
Bus133,241.682780,-0.538360,247.278388,3.660677,241.104193,1.572443
Bus134,242.236003,-0.540063,246.684128,3.663573,239.439352,1.571550
Bus135,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus136,241.148277,-0.536716,247.872487,3.657608,242.733541,1.572869
Bus137,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus138,241.681509,-0.538358,247.278755,3.660676,241.104903,1.572444
Bus139,241.682978,-0.538360,247.278116,3.660678,241.103673,1.572442
Bus140,242.275129,-0.540183,246.642188,3.663778,239.321678,1.571486
Bus141,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus142,241.148281,-0.536716,247.872371,3.657608,242.733435,1.572868
Bus143,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus144,241.681431,-0.538358,247.278756,3.660676,241.104903,1.572444
Bus145,241.683110,-0.538360,247.277934,3.660678,241.103324,1.572441
Bus146,242.311928,-0.540296,246.602754,3.663971,239.211010,1.571426
Bus147,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus148,241.148299,-0.536716,247.871819,3.657608,242.732932,1.572867
Bus149,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus150,241.681367,-0.538358,247.278756,3.660676,241.104904,1.572444
Bus151,241.683152,-0.538361,247.278050,3.660678,241.102947,1.572441
Bus152,241.683139,-0.538360,247.275230,3.660681,241.103332,1.572441
Bus153,242.354870,-0.540428,246.556753,3.664196,239.081882,1.571356
Bus154,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus155,241.148303,-0.536717,247.871699,3.657608,242.732822,1.572867
Bus156,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus157,241.681273,-0.538358,247.278756,3.660676,241.104905,1.572444
Bus158,241.683261,-0.538363,247.278357,3.660680,241.101946,1.572440
Bus159,241.683141,-0.538360,247.275065,3.660681,241.103333,1.572441
Bus160,242.367228,-0.540466,246.543518,3.664261,239.044726,1.571336
Bus161,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus162,241.148337,-0.536716,247.868584,3.657611,242.732831,1.572867
Bus163,241.148250,-0.536717,247.871467,3.657608,242.732386,1.572866
Bus164,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus165,241.681158,-0.538358,247.278756,3.660676,241.104906,1.572444
Bus166,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus167,241.683143,-0.538360,247.274915,3.660681,241.103333,1.572441
Bus168,242.437437,-0.540681,246.468352,3.664630,238.833640,1.571221
Bus169,242.748135,-0.534711,249.364417,3.654082,246.575996,1.570211
Bus170,241.148343,-0.536716,247.867996,3.657612,242.732833,1.572867
Bus171,241.148180,-0.536718,247.871158,3.657608,242.731806,1.572865
Bus172,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus173,241.681072,-0.538358,247.278757,3.660676,241.104907,1.572444
Bus174,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus175,241.683309,-0.538363,247.278494,3.660680,241.098783,1.572443
Bus176,241.683144,-0.538360,247.274852,3.660681,241.103333,1.572441
Bus177,242.477097,-0.540803,246.425913,3.664838,238.714419,1.571156
Bus178,241.148357,-0.536716,247.866782,3.657613,242.732836,1.572867
Bus179,241.148155,-0.536718,247.871068,3.657608,242.731833,1.572865
Bus180,241.148186,-0.536718,247.871175,3.657609,242.730196,1.572867
Bus181,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus182,241.680972,-0.538358,247.278757,3.660676,241.104909,1.572444
Bus183,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus184,241.683310,-0.538364,247.278497,3.660680,241.098479,1.572444
Bus185,241.683145,-0.538360,247.274718,3.660681,241.103334,1.572441
Bus186,242.506540,-0.540893,246.394416,3.664992,238.625919,1.571108
Bus187,241.148055,-0.536717,247.870714,3.657608,242.731937,1.572865
Bus188,241.148207,-0.536718,247.871248,3.657609,242.723529,1.572874
Bus189,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus190,241.680878,-0.538357,247.278757,3.660676,241.104910,1.572444
Bus191,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus192,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus193,241.683311,-0.538364,247.278500,3.660680,241.098185,1.572444
Bus194,241.683149,-0.538360,247.274375,3.660681,241.103335,1.572441
Bus195,242.533012,-0.540974,246.366104,3.665132,238.546353,1.571065
Bus196,241.147877,-0.536717,247.870082,3.657607,242.732123,1.572864
Bus197,241.148208,-0.536718,247.871252,3.657609,242.723114,1.572874
Bus198,241.148209,-0.536718,247.871253,3.657609,242.723015,1.572874
Bus199,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus200,241.680777,-0.538357,247.278757,3.660676,241.104911,1.572444
Bus201,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus202,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus203,241.683311,-0.538364,247.278503,3.660680,241.097950,1.572444
Bus204,241.683151,-0.538360,247.274174,3.660682,241.103335,1.572441
Bus205,242.565900,-0.541075,246.330938,3.665304,238.447511,1.571011
Bus206,241.146927,-0.536716,247.870085,3.657607,242.732134,1.572864
Bus207,241.147930,-0.536716,247.869910,3.657607,242.732141,1.572864
Bus208,241.148212,-0.536718,247.871263,3.657609,242.722064,1.572875
Bus209,241.148209,-0.536718,247.871254,3.657609,242.722943,1.572874
Bus210,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus211,241.680622,-0.538357,247.278758,3.660676,241.104912,1.572444
Bus212,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus213,241.683312,-0.538364,247.278505,3.660680,241.097763,1.572444
Bus214,241.683152,-0.538360,247.274033,3.660682,241.103336,1.572441
Bus215,242.626596,-0.541260,246.266066,3.665623,238.265115,1.570911
Bus216,241.143818,-0.536712,247.870094,3.657607,242.732168,1.572864
Bus217,241.148026,-0.536716,247.869598,3.657607,242.732171,1.572863
Bus218,241.148209,-0.536718,247.871254,3.657609,242.722884,1.572874
Bus219,241.682519,-0.538359,247.278897,3.660676,241.105153,1.572444
Bus220,241.680200,-0.538357,247.278759,3.660676,241.104917,1.572444
Bus221,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus222,241.683313,-0.538364,247.278509,3.660680,241.097366,1.572445
Bus223,241.683155,-0.538360,247.273762,3.660682,241.103337,1.572441
Bus224,242.679520,-0.541422,246.209528,3.665901,238.106097,1.570825
Bus225,241.142477,-0.536711,247.870098,3.657607,242.732183,1.572864
Bus226,241.148060,-0.536716,247.869487,3.657607,242.732182,1.572863
Bus227,241.148209,-0.536718,247.871255,3.657609,242.722838,1.572874
Bus228,241.680164,-0.538357,247.278759,3.660676,241.104917,1.572444
Bus229,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus230,241.683314,-0.538364,247.278512,3.660680,241.097054,1.572445
Bus231,241.683157,-0.538360,247.273627,3.660682,241.103337,1.572441
Bus232,242.715525,-0.541532,246.171079,3.666091,237.997927,1.570765
Bus233,241.148126,-0.536716,247.863405,3.657613,242.732200,1.572863
Bus234,241.148060,-0.536716,247.869487,3.657607,242.732182,1.572863
Bus235,241.148209,-0.536718,247.871256,3.657609,242.722766,1.572875
Bus236,241.680147,-0.538357,247.278759,3.660676,241.104918,1.572444
Bus237,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus238,241.683315,-0.538364,247.278515,3.660680,241.096838,1.572445
Bus239,241.683158,-0.538360,247.273531,3.660682,241.103337,1.572441
Bus240,242.739179,-0.541604,246.145826,3.666215,237.926869,1.570726
Bus241,241.148135,-0.536716,247.862522,3.657614,242.732202,1.572863
Bus242,241.148210,-0.536718,247.871257,3.657609,242.722683,1.572875
Bus243,241.680129,-0.538357,247.278759,3.660676,241.104918,1.572444
Bus244,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus245,241.683316,-0.538364,247.278517,3.660680,241.096622,1.572445
Bus246,241.683170,-0.538360,247.272435,3.660683,241.103340,1.572441
Bus247,242.790090,-0.541760,246.091491,3.666483,237.773941,1.570643
Bus248,241.148151,-0.536715,247.861064,3.657615,242.732206,1.572863
Bus249,241.148149,-0.536715,247.861269,3.657615,242.732206,1.572863
Bus250,241.148210,-0.536718,247.871258,3.657609,242.722554,1.572875
Bus251,241.680112,-0.538357,247.278759,3.660676,241.104918,1.572444
Bus252,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus253,241.683317,-0.538364,247.278521,3.660680,241.096306,1.572446
Bus254,241.683173,-0.538360,247.272112,3.660684,241.103341,1.572441
Bus255,242.789080,-0.541759,246.091494,3.666483,237.773952,1.570643
Bus256,242.823884,-0.541863,246.055520,3.666661,237.672664,1.570587
Bus257,241.148212,-0.536718,247.871263,3.657609,242.722084,1.572875
Bus258,241.680093,-0.538357,247.278759,3.660676,241.104918,1.572444
Bus259,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus260,241.683321,-0.538364,247.278534,3.660680,241.095119,1.572447
Bus261,241.683174,-0.538360,247.272039,3.660684,241.103342,1.572441
Bus262,242.788940,-0.541759,246.091494,3.666483,237.773954,1.570643
Bus263,242.950628,-0.542249,245.920702,3.667327,237.292899,1.570378
Bus264,241.148219,-0.536718,247.871288,3.657609,242.719795,1.572878
Bus265,241.680054,-0.538357,247.278760,3.660676,241.104919,1.572444
Bus266,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus267,241.683321,-0.538364,247.278537,3.660680,241.094841,1.572447
Bus268,241.683184,-0.538360,247.271103,3.660685,241.103344,1.572441
Bus269,241.683174,-0.538360,247.272009,3.660684,241.103342,1.572441
Bus270,242.788876,-0.541759,246.091494,3.666483,237.773954,1.570643
Bus271,242.950632,-0.542249,245.920714,3.667327,237.291763,1.570379
Bus272,242.993197,-0.542378,245.875397,3.667551,237.165463,1.570307
Bus273,241.680014,-0.538357,247.278760,3.660676,241.104919,1.572444
Bus274,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
Bus275,241.683322,-0.538364,247.278538,3.660680,241.094714,1.572447
Bus276,241.683194,-0.538360,247.270175,3.660686,241.103347,1.572440
Bus277,241.683175,-0.538360,247.271973,3.660684,241.103342,1.572441
Bus278,242.788799,-0.541759,246.091494,3.666483,237.773955,1.570643
Bus279,242.950632,-0.542249,245.920715,3.667327,237.291681,1.570379
Bus280,243.147544,-0.542846,245.711271,3.668362,236.703517,1.570051
Bus281,241.679859,-0.538356,247.278760,3.660676,241.104921,1.572444
Bus282,241.683300,-0.538363,247.278463,3.660680,241.101598,1.572440
